Poi,pose.position.x,pose.position.y,Type,artwork_name,artwork_artist,Description,
1층-융기원-20240905154025_식당,-67.000082,4.58386,Place,,,"이 장소는 식당입니다. 이곳에서는 다양한 음식을 맛볼 수 있습니다. 이곳은 KT 직원들과 방문객이 아침, 점심과 저녁을 먹는 곳입니다.",
1층-융기원-20240905154025_매점,-49.851665,-0.905534,Place,,,"이 장소는 매점입니다. 이곳에서는 다양한 물품을 구매할 수 있습니다. 이곳은 KT 회사의 매점입니다. KT 직원들 뿐만 아니라,   외부인도 이곳에서 물품을 구매할 수 있습니다.",
1층-융기원-20240905154025_윤명로작품,-63.964687,-1.766161,Artwork,얼레짓-훈륜,윤명로,- ‘얼레짓’은 연을 날리며 얼레를 돌리거나 여인이 머리를 감고 얼레빗으로 빗질하는 동작을 표현함. - 한국인의 정서와 정신을 담아냄. - 면포를 사용하고 먹과 수용성 아크릴을 활용하여 동양적 재료로 표현함. - ‘훈륜’은 빛의 세계를 의미하는 메타포로 사용됨. - 한국적 체질과 정신주의를 탐구하고자 하는 표현적 시도가 엿보임.가의 작품이 있는 곳 입니다. 윤명로 작가의 작품은 미술품입니다. 예술 작품에 관심이 있는 사람들에게 추천합니다.                            KT 회사를 처음 방문하는 사람들에게 추천합니다. 투어 장소로 추천합니다.,
1층-융기원-20240905154025_박석원작품1,-40.124326,4.9165,Artwork,적의 9009: 시간의 파문,박석원,"- 중심부의 원형은 태양을 연상시키며 에너지를 표현함. - 중심부의 거친 표면은 자연의 힘에 의해 마모된 느낌을 줌. - 시간의 흐름과 자연의 힘을 상징함. - 고리들이 파문처럼 퍼져나가는 형태로, 우주와 자연의 순환을 상징함. - 일부 깨진 고리들은 인생의 불완전함과 예측할 수 없는 변화를 나타냄. - 어두운 색조와 청동의 거친 표면은 고대 유물의 신비로움과 역사성을 강조함.",
1층-융기원-20240905154025_박석원작품2,-28.0516,5.03861,Artwork,적의 9009: 자연의 조각들,박석원,- 다섯 개의 거친 돌 조각이 원형의 받침대 위에 배치됨. - 돌 조각들은 자연의 원초적인 힘과 아름다움을 표현함. - 원형의 받침대는 돌 조각들의 특별한 의미를 강조함. - 자연과 인간의 조화로운 관계를 상징함. - 별자리나 행성의 배열을 연상시키며 우주와 자연의 질서를 나타냄. - 관람객으로 하여금 자연의 질서와 인간의 위치에 대해 생각하게 만듦.,
1층-융기원-20240905154025_연구소역사20년대,-31.064579,-1.252523,Artwork,,,"이 장소는 2020년대의 KT 연구소의 역사를 소개하는 곳입니다.	•	주요 연구 과제: Network AI 자동화 & 지능화, Industry AI GiGAtwin 기술개발, Next Genie Big Project, 초거대 AI 믿:음, 통신DX 2.0 Big Project.
기술적 혁신: SDN과 AI를 결합한 네트워크 운영 체계 혁신, 디지털 트윈 기술을 활용한 Industry DX 서비스, AI Core 기술을 통한 음성/대화 처리 차별화.
	•	성과: KT Network Operation 체계의 혁신, GiGAtwin을 통한 산업용 디지털 트윈 서비스 확대, B2B 통신서비스 Digital Transformation으로 인프라 비용 절감.",
1층-융기원-20240905154025_연구소역사10년대,-28.991672,-1.090514,Artwork,,,"이 장소는 2010년대의 KT 연구소의 역사를 소개하는 곳입니다.	•주요 연구 과제: Open IPTV 2.0, From Dumb To Smart, Smart Share Of Software, olleh tv 웹 전환 상용기술 개발, GiGA Office 기술개발.
	•	기술적 혁신: 딥러닝과 빅데이터를 기반으로 한 스마트 서비스 개발, HTML5를 활용한 IPTV 서비스 혁신, IoT와 클라우드 기술을 통합한 GiGA Office 솔루션 개발.
	•	성과: olleh tv의 Full-Browsing 지원 기술, AI 기반 홈 비서 GiGA Genie의 상용화, 기업용 ICT 통합 관제 서비스 GiGA Office의 개발과 확산.KT 회사를 처음 방문하는 사람들에게 추천합니다. 투어 장소로 추천합니다.",
1층-융기원-20240905154025_연구소역사00년대,-27.114779,-1.048433,Artwork,,,"이 장소는 2000년대의 KT 연구소의 역사를 소개하는 곳입니다. 	•주요 연구 과제: 인터넷/데이터 통합서비스 및 망관리시스템 개발, ANSWERS 시스템 Version3.0 개발, U-City 솔루션개발, 글로벌 OSS개발, 옥내용 무선접속 시스템 개발.
	•	기술적 혁신: ADSL 기술을 통해 고속 인터넷 서비스 제공, LAMA에서 CAMA 방식으로 전환한 과금 시스템 개발, 통합 망관리 솔루션 구축을 통한 운영 효율성 제고.
	•	성과: IDC(Internet Data Center) 구축을 통한 안정적인 서비스 제공, 초고속 인터넷 서비스 인프라 개발, 고객 관리 및 망 운영 자동화 솔루션.",
1층-융기원-20240905154025_연구소역사90년대,-24.883316,-1.088455,Artwork,,,"이 장소는 1990년대의 KT 연구소의 역사를 소개하는 곳입니다. 	• 1990년대는 통신 기술의 급격한 발전과 디지털 전환이 본격적으로 이루어진 시기입니다.
	•	주요 연구 과제: 광가입자 전송시스템 기술 개발, 한국인터넷망의 고속화 및 관리시스템 개발, 하이텔전화번호 시스템 개발, 전자교환기 집중과금처리 시스템 후속개발, 정보탐정 개발.
	•	기술적 혁신: 초고속 통신망 구축을 위한 광케이블 전송 기술, ISDN 고속화 기술, 전자교환기 과금 처리 시스템 개발을 통한 통신망 운영 효율성 향상.
	•	성과: 155Mbps 속도로 다양한 통신 서비스 제공, 전화 1890회선을 수용하는 광전송장치 개발, 하이텔 전화번호 서비스의 그림 정보 제공 기능 개선.",
1층-융기원-20240905154025_카페,-21.491943,-0.692552,Place,,,이 장소는 카페입니다. 이곳에서는 다양한 음료를 즐길 수 있습니다. 이곳에서는 회사를 방문하는 모두를 위한 KT 회사의 카페입니다.,
1층-융기원-20240905154025_여자화장실1,-33.698988,-9.134287,Place,,,이 장소는 첫 번째 여자화장실 입니다. 회사를 방문하는 모두가 이용할 수 있습니다.,
1층-융기원-20240905154025_남자화장실,-72.731505,-8.083957,Place,,,이 장소는 첫 번째 남자화장실 입니다. 회사를 방문하는 모두가 이용할 수 있습니다.,
1층-융기원-20240905154025_여자화장실2,-72.792105,-10.827997,Place,,,이 장소는 두 번째 여자화장실 입니다. 회사를 방문하는 모두가 이용할 수 있습니다.,
1층-융기원-20240905154025_Q-113,-73.792597,-24.081324,Place,,,이 장소는 QR코드 입니다. 이곳에서 QR코드를 스캔하면 다양한 정보를 얻을 수 있습니다.,
